RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           20     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     7.421D+00  1.933D+02
    1    3    12    11  ---    1  5.3D-02  6.3D-01  5.857D+00  1.612D+02
    2    4     1     0  con    0  1.0D+00  4.0D-01  4.729D+00  1.224D+02
    3    5     1     0  con    0  1.0D+00  1.2D+00  2.150D+00  7.402D+01
    4    6     1     0  con    0  1.0D+00  7.3D-01  2.165D+00  5.976D+01
    5    7     1     0  con    0  1.0D+00  3.1D-01  2.157D+00  5.114D+01
    6    8     1     0  con    0  1.0D+00  5.6D-01  2.099D+00  3.968D+01
    7    9     1     0  con    0  1.0D+00  3.2D-01  2.402D+00  3.352D+01
    8   10     1     0  con    0  1.0D+00  3.0D-01  2.374D+00  2.875D+01
    9   11     1     0  con    0  1.0D+00  1.4D-01  2.475D+00  2.675D+01
   10   12     1     0  con    0  1.0D+00  6.0D-02  2.445D+00  2.549D+01
   11   13     1     0  con    0  1.0D+00  5.8D-02  2.456D+00  2.444D+01
   12   14     1     0  con    0  1.0D+00  1.1D-01  2.528D+00  2.308D+01
   13   15     1     0  con    0  1.0D+00  1.3D-01  2.621D+00  2.187D+01
   14   17     1     0  con    1  4.9D-01  9.3D-02  2.656D+00  2.146D+01
   15   18     1     0  con    0  1.0D+00  7.6D-02  2.706D+00  2.110D+01
   16   19     1     0  con    0  1.0D+00  4.2D-02  2.717D+00  2.094D+01
   17   20     1     0  con    0  1.0D+00  5.1D-02  2.730D+00  2.073D+01
   18   21     1     0  con    0  1.0D+00  6.9D-02  2.750D+00  2.042D+01
   19   22     1     0  con    0  1.0D+00  2.4D-01  2.911D+00  2.026D+01
   20   23     1     0  con    0  1.0D+00  2.3D-02  2.896D+00  1.952D+01
   21   24     1     0  con    0  1.0D+00  4.7D-02  2.926D+00  1.923D+01
   22   25     1     0  con    0  1.0D+00  7.5D-02  2.971D+00  1.906D+01
   23   26     1     0  con    0  1.0D+00  7.2D-02  2.975D+00  1.895D+01
   24   27     1     0  con    0  1.0D+00  9.7D-02  2.968D+00  1.883D+01
   25   28     1     0  con    0  1.0D+00  4.4D-02  2.936D+00  1.870D+01
