RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          227     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.833D+00  1.343D+03
    1    3    98    97  ---    1  3.6D-02  8.4D-01  2.852D+00  1.197D+03
    2    4     1     0  con    0  1.0D+00  4.4D-01  2.858D+00  1.010D+03
    3    5     1     0  con    0  1.0D+00  6.4D-01  2.869D+00  8.795D+02
    4    6     1     0  con    0  1.0D+00  9.5D-01  2.860D+00  7.622D+02
    5    7     1     0  con    0  1.0D+00  1.6D+00  2.783D+00  6.422D+02
    6    8     1     0  con    0  1.0D+00  9.2D-01  2.718D+00  5.538D+02
    7    9     1     0  con    0  1.0D+00  7.2D-01  2.705D+00  5.068D+02
    8   10     1     0  con    0  1.0D+00  6.0D-01  2.685D+00  4.768D+02
    9   11     1     0  con    0  1.0D+00  6.8D-01  2.632D+00  4.451D+02
   10   12     1     0  con    0  1.0D+00  5.0D-01  2.558D+00  4.132D+02
   11   13     1     0  con    0  1.0D+00  6.7D-01  2.444D+00  3.825D+02
   12   14     1     0  con    0  1.0D+00  5.6D-01  2.436D+00  3.757D+02
   13   15     1     0  con    0  1.0D+00  1.1D-01  2.330D+00  3.642D+02
   14   16     1     0  con    0  1.0D+00  6.3D-02  2.313D+00  3.604D+02
   15   17     1     0  con    0  1.0D+00  1.9D-01  2.420D+00  3.538D+02
   16   18     1     0  con    0  1.0D+00  3.4D-01  2.457D+00  3.455D+02
   17   19     1     0  con    0  1.0D+00  6.1D-01  2.554D+00  3.404D+02
   18   20     1     0  con    0  1.0D+00  7.1D-02  2.505D+00  3.345D+02
   19   21     1     0  con    0  1.0D+00  4.9D-02  2.430D+00  3.329D+02
   20   22     1     0  con    0  1.0D+00  9.4D-02  2.537D+00  3.312D+02
   21   24     1     0  con    1  4.9D-01  1.3D-01  2.569D+00  3.300D+02
   22   25     1     0  con    0  1.0D+00  1.2D-01  2.233D+00  3.286D+02
   23   26     1     0  con    0  1.0D+00  6.7D-02  2.230D+00  3.279D+02
   24   27     1     0  con    0  1.0D+00  7.7D-02  2.383D+00  3.273D+02
   25   28     1     0  con    0  1.0D+00  9.9D-02  2.605D+00  3.267D+02
   26   29     1     0  con    0  1.0D+00  5.2D-02  2.382D+00  3.261D+02
   27   30     1     0  con    0  1.0D+00  8.6D-02  2.619D+00  3.254D+02
   28   31     1     0  con    0  1.0D+00  8.3D-02  2.391D+00  3.248D+02
   29   32     1     0  con    0  1.0D+00  1.3D-01  2.592D+00  3.241D+02
   30   33     1     0  con    0  1.0D+00  1.7D-01  2.665D+00  3.234D+02
   31   34     1     0  con    0  1.0D+00  9.2D-02  2.644D+00  3.226D+02
   32   35     1     0  con    0  1.0D+00  4.6D-02  2.644D+00  3.222D+02
   33   36     1     0  con    0  1.0D+00  1.2D-01  2.688D+00  3.216D+02
   34   37     1     0  con    0  1.0D+00  1.3D-01  2.692D+00  3.211D+02
   35   38     1     0  con    0  1.0D+00  5.6D-02  2.578D+00  3.207D+02
   36   39     1     0  con    0  1.0D+00  1.5D-01  2.708D+00  3.202D+02
   37   40     1     0  con    0  1.0D+00  1.1D-01  2.668D+00  3.198D+02
   38   41     1     0  con    0  1.0D+00  6.2D-02  2.711D+00  3.194D+02
   39   42     1     0  con    0  1.0D+00  2.8D-01  2.713D+00  3.187D+02
   40   43     1     0  con    0  1.0D+00  1.6D-01  2.713D+00  3.182D+02
   41   44     1     0  con    0  1.0D+00  2.8D-02  2.711D+00  3.179D+02
   42   45     1     0  con    0  1.0D+00  7.3D-02  2.699D+00  3.173D+02
   43   46     1     0  con    0  1.0D+00  1.4D-01  2.696D+00  3.169D+02
   44   47     1     0  con    0  1.0D+00  2.6D-01  2.701D+00  3.167D+02
   45   48     1     0  con    0  1.0D+00  5.6D-02  2.700D+00  3.161D+02
   46   49     1     0  con    0  1.0D+00  4.4D-02  2.634D+00  3.158D+02
   47   50     1     0  con    0  1.0D+00  1.2D-01  2.690D+00  3.153D+02
   48   51     1     0  con    0  1.0D+00  2.2D-01  2.680D+00  3.146D+02
   49   53     1     0  con    1  4.7D-01  1.8D-01  2.453D+00  3.142D+02
   50   54     1     0  con    0  1.0D+00  1.1D-01  2.442D+00  3.139D+02
   51   55     1     0  con    0  1.0D+00  1.0D-01  2.448D+00  3.135D+02
   52   56     1     0  con    0  1.0D+00  1.4D-01  2.493D+00  3.131D+02
   53   57     1     0  con    0  1.0D+00  1.5D-01  2.603D+00  3.129D+02
   54   58     1     0  con    0  1.0D+00  2.1D-02  2.401D+00  3.126D+02
   55   59     1     0  con    0  1.0D+00  2.3D-02  2.326D+00  3.124D+02
   56   60     1     0  con    0  1.0D+00  5.3D-02  2.581D+00  3.122D+02
   57   61     1     0  con    0  1.0D+00  1.5D-01  2.581D+00  3.119D+02
   58   62     1     0  con    0  1.0D+00  1.0D-01  2.355D+00  3.115D+02
   59   63     1     0  con    0  1.0D+00  4.4D-02  2.352D+00  3.113D+02
   60   64     1     0  con    0  1.0D+00  7.9D-02  2.686D+00  3.111D+02
   61   65     1     0  con    0  1.0D+00  1.1D-01  2.694D+00  3.109D+02
   62   66     1     0  con    0  1.0D+00  1.1D-01  2.351D+00  3.106D+02
   63   67     1     0  con    0  1.0D+00  1.1D-01  2.543D+00  3.103D+02
