RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          197     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.833D+00  1.579D+02
    1    3    79    78  ---    1  1.4D-02  2.9D-01  2.840D+00  1.449D+02
    2    4     1     0  con    0  1.0D+00  2.3D-01  2.846D+00  1.231D+02
    3    5     1     0  con    0  1.0D+00  4.9D-01  2.858D+00  9.671D+01
    4    6     1     0  con    0  1.0D+00  5.4D-01  2.873D+00  7.953D+01
    5    7     1     0  con    0  1.0D+00  6.2D-01  2.891D+00  7.367D+01
    6    8     1     0  con    0  1.0D+00  8.9D-02  2.866D+00  6.717D+01
    7    9     1     0  con    0  1.0D+00  4.2D-02  2.874D+00  6.523D+01
    8   10     1     0  con    0  1.0D+00  1.3D-01  2.872D+00  6.197D+01
    9   11     1     0  con    0  1.0D+00  1.9D-01  2.890D+00  5.840D+01
   10   12     1     0  con    0  1.0D+00  3.8D-01  2.892D+00  5.595D+01
   11   13     1     0  con    0  1.0D+00  4.5D-02  2.888D+00  5.340D+01
   12   14     1     0  con    0  1.0D+00  4.3D-02  2.897D+00  5.252D+01
   13   15     1     0  con    0  1.0D+00  8.7D-02  2.905D+00  5.173D+01
   14   16     1     0  con    0  1.0D+00  1.4D-01  2.915D+00  5.108D+01
   15   17     1     0  con    0  1.0D+00  3.2D-02  2.685D+00  5.038D+01
   16   18     1     0  con    0  1.0D+00  7.0D-02  2.671D+00  4.967D+01
   17   19     1     0  con    0  1.0D+00  8.8D-02  2.812D+00  4.904D+01
   18   20     1     0  con    0  1.0D+00  2.0D-01  2.956D+00  4.878D+01
   19   21     1     0  con    0  1.0D+00  3.7D-02  2.618D+00  4.788D+01
   20   22     1     0  con    0  1.0D+00  1.5D-02  2.616D+00  4.769D+01
   21   23     1     0  con    0  1.0D+00  5.2D-02  2.605D+00  4.733D+01
   22   24     1     0  con    0  1.0D+00  1.2D-01  2.962D+00  4.728D+01
   23   25     1     0  con    0  1.0D+00  1.8D-02  2.918D+00  4.681D+01
   24   26     1     0  con    0  1.0D+00  2.9D-02  2.967D+00  4.667D+01
   25   27     1     0  con    0  1.0D+00  5.5D-02  2.965D+00  4.651D+01
   26   28     1     0  con    0  1.0D+00  7.7D-02  2.568D+00  4.626D+01
   27   30     1     0  con    1  4.7D-01  9.1D-02  2.588D+00  4.608D+01
   28   31     1     0  con    0  1.0D+00  7.8D-02  2.562D+00  4.582D+01
   29   32     1     0  con    0  1.0D+00  5.1D-02  2.461D+00  4.563D+01
   30   33     1     0  con    0  1.0D+00  1.0D-01  2.647D+00  4.530D+01
   31   35     1     0  con    1  4.6D-01  6.7D-02  2.871D+00  4.513D+01
   32   36     1     0  con    0  1.0D+00  4.8D-02  2.443D+00  4.493D+01
   33   37     1     0  con    0  1.0D+00  4.3D-02  2.057D+00  4.477D+01
   34   38     1     0  con    0  1.0D+00  3.7D-02  2.565D+00  4.466D+01
   35   39     1     0  con    0  1.0D+00  3.2D-02  2.554D+00  4.454D+01
   36   40     1     0  con    0  1.0D+00  7.1D-02  2.573D+00  4.432D+01
   37   41     1     0  con    0  1.0D+00  1.1D-01  2.869D+00  4.413D+01
   38   42     1     0  con    0  1.0D+00  3.6D-02  2.871D+00  4.391D+01
   39   43     1     0  con    0  1.0D+00  9.5D-02  2.852D+00  4.358D+01
   40   44     1     0  con    0  1.0D+00  9.7D-02  2.855D+00  4.333D+01
   41   46     1     0  con    1  4.5D-01  1.3D-01  2.887D+00  4.311D+01
   42   47     1     0  con    0  1.0D+00  1.3D-01  2.873D+00  4.279D+01
   43   48     1     0  con    0  1.0D+00  7.0D-02  2.084D+00  4.261D+01
   44   49     1     0  con    0  1.0D+00  9.0D-02  2.865D+00  4.243D+01
   45   50     1     0  con    0  1.0D+00  7.0D-02  2.801D+00  4.233D+01
   46   51     1     0  con    0  1.0D+00  1.4D-02  2.398D+00  4.223D+01
   47   52     1     0  con    0  1.0D+00  1.9D-02  2.245D+00  4.214D+01
   48   53     1     0  con    0  1.0D+00  2.7D-02  2.209D+00  4.207D+01
   49   54     1     0  con    0  1.0D+00  9.0D-02  2.939D+00  4.204D+01
   50   55     1     0  con    0  1.0D+00  8.7D-03  2.023D+00  4.192D+01
   51   56     1     0  con    0  1.0D+00  1.1D-02  1.439D+00  4.189D+01
   52   57     1     0  con    0  1.0D+00  2.9D-02  1.682D+00  4.184D+01
   53   58     1     0  con    0  1.0D+00  5.0D-02  2.617D+00  4.175D+01
   54   59     1     0  con    0  1.0D+00  1.3D-01  2.968D+00  4.169D+01
   55   60     1     0  con    0  1.0D+00  1.5D-02  2.192D+00  4.157D+01
   56   61     1     0  con    0  1.0D+00  9.5D-03  2.136D+00  4.153D+01
   57   62     1     0  con    0  1.0D+00  3.1D-02  1.662D+00  4.148D+01
   58   63     1     0  con    0  1.0D+00  7.9D-02  2.869D+00  4.147D+01
   59   64     1     0  con    0  1.0D+00  6.3D-03  2.673D+00  4.139D+01
   60   65     1     0  con    0  1.0D+00  2.1D-02  1.368D+00  4.136D+01
   61   66     1     0  con    0  1.0D+00  4.2D-02  2.232D+00  4.132D+01
   62   67     1     0  con    0  1.0D+00  5.7D-02  2.684D+00  4.126D+01
   63   68     1     0  con    0  1.0D+00  1.7D-01  2.971D+00  4.122D+01
   64   69     1     0  con    0  1.0D+00  4.0D-02  2.007D+00  4.109D+01
   65   70     1     0  con    0  1.0D+00  1.5D-02  1.773D+00  4.104D+01
   66   71     1     0  con    0  1.0D+00  5.3D-02  1.717D+00  4.097D+01
   67   72     1     0  con    0  1.0D+00  9.0D-02  2.935D+00  4.095D+01
   68   73     1     0  con    0  1.0D+00  8.4D-03  2.030D+00  4.089D+01
   69   74     1     0  con    0  1.0D+00  8.4D-03  1.095D+00  4.087D+01
   70   75     1     0  con    0  1.0D+00  1.7D-02  1.618D+00  4.085D+01
