RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           29     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.833D+00  8.286D+01
    1    3    10     9  ---    1  6.9D-03  3.0D-02  2.837D+00  8.226D+01
    2    4     1     0  con    0  1.0D+00  9.4D-02  2.840D+00  6.702D+01
    3    5     1     0  con    0  1.0D+00  1.4D-01  3.020D+00  5.626D+01
    4    6     1     0  con    0  1.0D+00  1.1D-01  3.072D+00  5.010D+01
    5    7     1     0  con    0  1.0D+00  2.5D-01  3.152D+00  4.092D+01
    6    8     1     0  con    0  1.0D+00  2.4D-01  3.195D+00  3.236D+01
    7    9     1     0  con    0  1.0D+00  2.2D-01  3.207D+00  2.628D+01
    8   10     1     0  con    0  1.0D+00  1.7D-01  3.289D+00  2.348D+01
    9   11     1     0  con    0  1.0D+00  3.6D-02  3.278D+00  2.198D+01
   10   12     1     0  con    0  1.0D+00  4.9D-02  3.262D+00  2.103D+01
   11   13     1     0  con    0  1.0D+00  6.7D-02  3.257D+00  2.018D+01
   12   14     1     0  con    0  1.0D+00  1.3D-01  3.252D+00  1.891D+01
   13   15     1     0  con    0  1.0D+00  7.9D-02  3.246D+00  1.827D+01
   14   16     1     0  con    0  1.0D+00  1.9D-02  3.239D+00  1.816D+01
   15   17     1     0  con    0  1.0D+00  9.1D-03  1.938D+00  1.811D+01
   16   18     1     0  con    0  1.0D+00  5.3D-03  2.378D+00  1.808D+01
   17   19     1     0  con    0  1.0D+00  3.6D-02  3.244D+00  1.795D+01
   18   20     1     0  con    0  1.0D+00  4.4D-02  3.241D+00  1.784D+01
   19   21     1     0  con    0  1.0D+00  9.3D-02  3.252D+00  1.773D+01
   20   22     1     0  con    0  1.0D+00  2.4D-02  2.288D+00  1.759D+01
   21   23     1     0  con    0  1.0D+00  3.2D-02  3.242D+00  1.747D+01
   22   24     1     0  con    0  1.0D+00  7.7D-02  3.246D+00  1.727D+01
   23   25     1     0  con    0  1.0D+00  1.7D-01  3.273D+00  1.692D+01
   24   26     1     0  con    0  1.0D+00  2.8D-01  3.295D+00  1.688D+01
   25   27     1     0  con    0  1.0D+00  6.8D-02  3.283D+00  1.651D+01
   26   28     1     0  con    0  1.0D+00  1.6D-02  3.274D+00  1.642D+01
   27   29     1     0  con    0  1.0D+00  6.6D-02  3.277D+00  1.625D+01
   28   30     1     0  con    0  1.0D+00  1.2D-01  3.283D+00  1.608D+01
   29   31     1     0  con    0  1.0D+00  4.5D-02  3.285D+00  1.596D+01
   30   32     1     0  con    0  1.0D+00  3.7D-02  2.762D+00  1.591D+01
   31   33     1     0  con    0  1.0D+00  1.4D-02  3.281D+00  1.589D+01
   32   34     1     0  con    0  1.0D+00  3.7D-02  3.275D+00  1.584D+01
   33   36     1     0  con    1  4.8D-01  2.3D-02  3.244D+00  1.581D+01
   34   37     1     0  con    0  1.0D+00  1.6D-02  2.013D+00  1.578D+01
   35   38     1     0  con    0  1.0D+00  1.1D-02  1.984D+00  1.576D+01
   36   39     1     0  con    0  1.0D+00  1.0D-02  1.911D+00  1.575D+01
   37   40     1     0  con    0  1.0D+00  3.5D-02  3.247D+00  1.571D+01
   38   41     1     0  con    0  1.0D+00  5.8D-02  3.247D+00  1.565D+01
   39   42     1     0  con    0  1.0D+00  4.8D-02  3.246D+00  1.559D+01
   40   43     1     0  con    0  1.0D+00  7.1D-02  3.264D+00  1.555D+01
   41   44     1     0  con    0  1.0D+00  1.7D-02  1.856D+00  1.552D+01
   42   45     1     0  con    0  1.0D+00  7.4D-03  1.855D+00  1.550D+01
   43   46     1     0  con    0  1.0D+00  2.9D-02  2.208D+00  1.546D+01
   44   47     1     0  con    0  1.0D+00  5.5D-02  3.274D+00  1.544D+01
   45   48     1     0  con    0  1.0D+00  1.8D-02  1.513D+00  1.542D+01
   46   49     1     0  con    0  1.0D+00  5.7D-03  8.747D-01  1.541D+01

CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL            

 Total User time 5.028E+01 seconds.

