RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          227     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.886D+00  3.441D+02
    1    3   104   103  ---    1  8.1D-03  1.8D-01  3.854D+00  3.277D+02
    2    4     1     0  con    0  1.0D+00  1.2D-01  3.826D+00  3.043D+02
    3    5     1     0  con    0  1.0D+00  1.4D-01  3.538D+00  2.909D+02
    4    6     1     0  con    0  1.0D+00  2.4D-01  3.314D+00  2.768D+02
    5    7     1     0  con    0  1.0D+00  4.0D-01  3.310D+00  2.646D+02
    6    8     1     0  con    0  1.0D+00  2.4D-01  3.013D+00  2.520D+02
    7    9     1     0  con    0  1.0D+00  3.3D-01  3.152D+00  2.404D+02
    8   10     1     0  con    0  1.0D+00  3.0D-01  3.311D+00  2.331D+02
    9   11     1     0  con    0  1.0D+00  3.3D-01  3.308D+00  2.286D+02
   10   12     1     0  con    0  1.0D+00  5.7D-02  2.904D+00  2.246D+02
   11   13     1     0  con    0  1.0D+00  1.0D-01  3.313D+00  2.211D+02
   12   14     1     0  con    0  1.0D+00  1.8D-01  3.319D+00  2.177D+02
   13   15     1     0  con    0  1.0D+00  2.8D-01  3.317D+00  2.168D+02
   14   16     1     0  con    0  1.0D+00  3.6D-02  2.991D+00  2.141D+02
   15   17     1     0  con    0  1.0D+00  3.2D-02  2.950D+00  2.133D+02
   16   18     1     0  con    0  1.0D+00  1.0D-01  3.313D+00  2.120D+02
   17   19     1     0  con    0  1.0D+00  1.5D-01  3.293D+00  2.105D+02
   18   20     1     0  con    0  1.0D+00  2.3D-01  3.326D+00  2.100D+02
   19   21     1     0  con    0  1.0D+00  4.9D-02  3.317D+00  2.090D+02
   20   22     1     0  con    0  1.0D+00  2.2D-02  3.317D+00  2.086D+02
   21   23     1     0  con    0  1.0D+00  6.6D-02  3.320D+00  2.081D+02
   22   24     1     0  con    0  1.0D+00  1.2D-01  3.323D+00  2.076D+02
   23   25     1     0  con    0  1.0D+00  6.6D-02  2.840D+00  2.071D+02
   24   26     1     0  con    0  1.0D+00  3.0D-02  2.663D+00  2.068D+02
   25   27     1     0  con    0  1.0D+00  7.5D-02  3.324D+00  2.063D+02
   26   28     1     0  con    0  1.0D+00  1.4D-01  3.310D+00  2.057D+02
   27   29     1     0  con    0  1.0D+00  1.1D-01  3.328D+00  2.051D+02
   28   30     1     0  con    0  1.0D+00  1.3D-01  3.032D+00  2.044D+02
   29   31     1     0  bnd    0  1.0D+00  1.5D-01  3.242D+00  2.037D+02
   30   32     1     0  bnd    0  1.0D+00  2.3D-01  3.328D+00  2.030D+02
   31   33     1     2  bnd    0  1.0D+00  8.8D-02  3.277D+00  2.023D+02
   32   34     1     2  bnd    0  1.0D+00  1.5D-01  3.295D+00  2.014D+02
   33   35     1     1  bnd    0  1.0D+00  1.6D-01  3.324D+00  2.007D+02
   34   36     1     1  bnd    0  1.0D+00  2.0D-01  3.324D+00  2.000D+02
   35   37     1     1  bnd    0  1.0D+00  1.1D-01  3.328D+00  1.995D+02
   36   38     1     1  con    0  1.0D+00  6.8D-02  2.970D+00  1.992D+02
   37   39     1     1  bnd    0  1.0D+00  1.6D-02  2.723D+00  1.990D+02
   38   40     1     1  bnd    0  1.0D+00  5.9D-02  3.267D+00  1.987D+02
   39   41     2     2  con    0  1.0D+00  8.5D-02  3.276D+00  1.986D+02
   40   42     1     1  con    0  1.0D+00  1.8D-02  2.820D+00  1.985D+02
   41   43     1     1  con    0  1.0D+00  5.1D-02  2.681D+00  1.984D+02
   42   44     1     1  con    0  1.0D+00  5.8D-02  3.095D+00  1.982D+02
   43   45     1     1  bnd    0  1.0D+00  1.4D-01  3.242D+00  1.980D+02
   44   46     1     1  bnd    0  1.0D+00  1.2D-01  3.093D+00  1.978D+02
   45   47     1     1  con    0  1.0D+00  1.9D-02  2.225D+00  1.977D+02
   46   48     1     1  bnd    0  1.0D+00  7.3D-02  2.725D+00  1.974D+02
   47   49     2     2  bnd    0  1.0D+00  1.2D-01  3.130D+00  1.971D+02
   48   50     1     1  con    0  1.0D+00  8.2D-02  3.055D+00  1.969D+02
   49   51     1     1  bnd    0  1.0D+00  6.9D-02  2.558D+00  1.967D+02
   50   52     1     0  bnd    0  1.0D+00  5.3D-02  3.085D+00  1.966D+02
   51   53     1     0  bnd    0  1.0D+00  1.1D-01  2.939D+00  1.965D+02
   52   54     1     0  bnd    0  1.0D+00  9.3D-02  3.333D+00  1.964D+02
   53   55     1     0  con    0  1.0D+00  1.7D-02  3.077D+00  1.961D+02
   54   56     1     0  con    0  1.0D+00  3.4D-02  2.740D+00  1.960D+02
